# Point-charge transverse RW dipolar wake, y-plane
# Source: existing freq_x/freq_y and Zx_C/Zy_C from IW2D model
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/C/m]"
#------------------------
1.753785879300	1.4494642238223e+16
1.756783803880	1.4402135897186e+16
1.759781728460	1.4298299015327e+16
1.762779653040	1.4183711281469e+16
1.765777577620	1.4059001284451e+16
1.768775502200	1.3924803091212e+16
1.771773426780	1.3781720398035e+16
1.774771351360	1.3630311008152e+16
1.777769275940	1.3471096584119e+16
1.780767200520	1.3304592967393e+16
1.783765125100	1.3131348536889e+16
1.786763049680	1.2951975066879e+16
1.789760974260	1.2767158472449e+16
1.792758898840	1.2577644559727e+16
1.795756823420	1.2384204463399e+16
1.798754748000	1.2187592201089e+16
1.801752672580	1.1988509754043e+16
1.804750597160	1.1787592175314e+16
1.807748521740	1.1585417558381e+16
1.810746446320	1.1382537210675e+16
1.813744370900	1.1179513692332e+16
1.816742295480	1.0976951425782e+16
1.819740220060	1.0775507469092e+16
1.822738144640	1.0575877657111e+16
1.825736069220	1.0378762733855e+16
1.828733993800	1.0184826731428e+16
1.831731918380	9.9946627923665e+15
1.834729842960	9.8087787777195e+15
1.837727767540	9.6276074596088e+15
1.840725692120	9.4515367548310e+15
1.843723616700	9.2809478815561e+15
1.846721541280	9.1162463946550e+15
1.849719465860	8.9578738753365e+15
1.852717390440	8.8062955217921e+15
1.855715315020	8.6619681442514e+15
1.858713239600	8.5253005738827e+15
1.861711164180	8.3966213933503e+15
1.864709088760	8.2761660969897e+15
1.867707013340	8.1640883763972e+15
1.870704937920	8.0604910440745e+15
1.873702862500	7.9654646613534e+15
1.876700787080	7.8791190617491e+15
1.879698711660	7.8015957399880e+15
1.882696636240	7.7330564339844e+15
1.885694560820	7.6736523438248e+15
1.888692485400	7.6234858281014e+15
1.891690409980	7.5825792802478e+15
1.894688334560	7.5508631395240e+15
1.897686259140	7.5281876984874e+15
1.900684183720	7.5143543254281e+15
1.903682108300	7.5091543785617e+15
1.906680032880	7.5124012407935e+15
1.909677957460	7.5239436192999e+15
1.912675882040	7.5436554782203e+15
1.915673806620	7.5714069353177e+15
1.918671731200	7.6070277307756e+15
1.921669655780	7.6502776985057e+15
