# Point-charge longitudinal RW wake function
# Source: existing freq_z, Zz_C from IW2D model
#"s / mm"	"W_parallel [V/C]"
#------------------------
0.254823589300	2.2448696409628e+17
0.257821513880	3.3216995801447e+17
0.260819438460	4.3705327220083e+17
0.263817363040	5.3887752713722e+17
0.266815287620	6.3735822817959e+17
0.269813212200	7.3218761217194e+17
0.272811136780	8.2305113844447e+17
0.275809061360	9.0965231574411e+17
0.278806985940	9.9173653091109e+17
0.281804910520	1.0691051017456e+18
0.284802835100	1.1416146278413e+18
0.287800759680	1.2091623377840e+18
0.290798684260	1.2716633726610e+18
0.293796608840	1.3290288378214e+18
0.296794533420	1.3811529568060e+18
0.299792458000	1.4279140312470e+18
0.302790382580	1.4691885808553e+18
0.305788307160	1.5048730521269e+18
0.308786231740	1.5349047160368e+18
0.311784156320	1.5592738237056e+18
0.314782080900	1.5780225223239e+18
0.317780005480	1.5912310982754e+18
0.320777930060	1.5989968682071e+18
0.323775854640	1.6014136940177e+18
0.326773779220	1.5985596921403e+18
0.329771703800	1.5904974516755e+18
0.332769628380	1.5772862519352e+18
0.335767552960	1.5590012279377e+18
0.338765477540	1.5357518822269e+18
0.341763402120	1.5076927100829e+18
0.344761326700	1.4750218012063e+18
0.347759251280	1.4379678864323e+18
0.350757175860	1.3967706466213e+18
0.353755100440	1.3516615541572e+18
0.356753025020	1.3028521813231e+18
0.359750949600	1.2505339591349e+18
0.362748874180	1.1948889646626e+18
0.365746798760	1.1361071441850e+18
0.368744723340	1.0744030163462e+18
0.371742647920	1.0100252072098e+18
0.374740572500	9.4325498742576e+17
0.377738497080	8.7439420395595e+17
0.380736421660	8.0374700552239e+17
0.383734346240	7.3160204025754e+17
0.386732270820	6.5822152134788e+17
0.389730195400	5.8384085918945e+17
0.392728119980	5.0867850494519e+17
0.395726044560	4.3295179511825e+17
0.398723969140	3.5689238544241e+17
0.401721893720	2.8075512262646e+17
0.404719818300	2.0481678831145e+17
0.407717742880	1.2936504722391e+17
0.410715667460	5.4681646019861e+16
0.413713592040	-1.8973962630802e+16
0.416711516620	-9.1374636773418e+16
0.419709441200	-1.6232575227274e+17
0.422707365780	-2.3165590340788e+17
0.425705290360	-2.9920198414850e+17
0.428703214940	-3.6479459722298e+17
0.431701139520	-4.2824951553837e+17
0.434699064100	-4.8936853209892e+17
0.437696988680	-5.4794941535402e+17
0.440694913260	-6.0380122494974e+17
0.443692837840	-6.5675924741036e+17
0.446690762420	-7.0669401814179e+17
0.449688687000	-7.5351119693616e+17
0.452686611580	-7.9714255882251e+17
0.455684536160	-8.3753171051865e+17
0.458682460740	-8.7462007813861e+17
0.461680385320	-9.0833851963879e+17
0.464678309900	-9.3860769671791e+17
0.467676234480	-9.6534696304010e+17
0.470674159060	-9.8848828410948e+17
0.473672083640	-1.0079898258059e+18
0.476670008220	-1.0238440279781e+18
0.479667932800	-1.0360771223173e+18
0.482665857380	-1.0447403227746e+18
0.485663781960	-1.0498960585243e+18
0.488661706540	-1.0516044444225e+18
0.491659631120	-1.0499150165672e+18
0.494657555700	-1.0448666891228e+18
0.497655480280	-1.0364957219594e+18
0.500653404860	-1.0248484411381e+18
0.503651329440	-1.0099936801260e+18
0.506649254020	-9.9203006632833e+17
0.509647178600	-9.7108528246096e+17
0.512645103180	-9.4730750295843e+17
0.515643027760	-9.2085216466206e+17
0.518640952340	-8.9186895736473e+17
0.521638876920	-8.6049377301740e+17
0.524636801500	-8.2684841006606e+17
0.527634726080	-7.9104784919058e+17
0.530632650660	-7.5321204128558e+17
0.533630575240	-7.1347746761335e+17
0.536628499820	-6.7200386982665e+17
0.539626424400	-6.2897343110856e+17
0.542624348980	-5.8458258460407e+17
0.545622273560	-5.3902942173805e+17
0.548620198140	-4.9250131081488e+17
0.551618122720	-4.4516720675650e+17
0.554616047300	-3.9717730458829e+17
0.557613971880	-3.4866987480705e+17
0.560611896460	-2.9978239701901e+17
0.563609821040	-2.5066251125984e+17
0.566607745620	-2.0147442822123e+17
0.569605670200	-1.5239821550878e+17
0.572603594780	-1.0362211523154e+17
0.575601519360	-5.5330698974375e+16
0.578599443940	-7.6932241167863e+15
0.581597368520	3.9143559470250e+16
0.584595293100	8.5055630016988e+16
0.587593217680	1.2993508557375e+17
0.590591142260	1.7367943434919e+17
0.593589066840	2.1618103217920e+17
0.596586991420	2.5732080737811e+17
0.599584916000	2.9696873341568e+17
0.602582840580	3.3499091234297e+17
0.605580765160	3.7126061234393e+17
0.608578689740	4.0566911729599e+17
0.611576614320	4.3813234865155e+17
0.614574538900	4.6859085567569e+17
0.617572463480	4.9700330274168e+17
0.620570388060	5.2333604128763e+17
0.623568312640	5.4755280598971e+17
0.626566237220	5.6960847804857e+17
0.629564161800	5.8944926496093e+17
0.632562086380	6.0701917552609e+17
0.635560010960	6.2227026806364e+17
0.638557935540	6.3517273025600e+17
0.641555860120	6.4572094065819e+17
0.644553784700	6.5393321566885e+17
0.647551709280	6.5984535761562e+17
0.650549633860	6.6350046525331e+17
0.653547558440	6.6493885686633e+17
0.656545483020	6.6419186951309e+17
0.659543407600	6.6128178232296e+17
0.662541332180	6.5622775618980e+17
0.665539256760	6.4905538945041e+17
0.668537181340	6.3980612983794e+17
0.671535105920	6.2854286523188e+17
0.674533030500	6.1534949524307e+17
0.677530955080	6.0032458770343e+17
0.680528879660	5.8357146651456e+17
0.683526804240	5.6518840841876e+17
0.686524728820	5.4526254830312e+17
0.689522653400	5.2386964769918e+17
0.692520577980	5.0107963037066e+17
