#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Transverse RW dipolar bunch wake, x-plane
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/pC/m]"
#------------------------
-8.307249011180	-1.8978131763076e-13
-8.304251086600	-3.9854076702459e-13
-8.301253162020	-4.7445329407689e-13
-8.298255237440	-2.4671571291998e-13
-8.295257312860	-2.8467197644614e-13
-8.292259388280	7.5912527052303e-14
-8.289261463700	-5.3138768936612e-13
-8.286263539120	-2.6569384468306e-13
-8.283265614540	2.0875944939383e-13
-8.280267689960	1.3284692234153e-13
-8.277269765380	-7.5912527052303e-14
-8.274271840800	1.1386879057845e-13
-8.271273916220	2.4671571291998e-13
-8.268275991640	1.5182505410461e-13
-8.265278067060	2.4671571291998e-13
-8.262280142480	-3.9854076702459e-13
-8.259282217900	-1.5182505410461e-13
-8.256284293320	-8.5401592933841e-13
-8.253286368740	-4.9343142583997e-13
-8.250288444160	1.7080318586768e-13
-8.247290519580	-1.1386879057845e-13
-8.244292595000	1.5182505410461e-13
-8.241294670420	-2.0875944939383e-13
-8.238296745840	-1.5182505410461e-13
-8.235298821260	1.8978131763076e-13
-8.232300896680	1.1386879057845e-13
-8.229302972100	5.5036582112919e-13
-8.226305047520	-4.1751889878766e-13
-8.223307122940	9.4890658815378e-14
-8.220309198360	-1.1386879057845e-13
-8.217311273780	-2.0875944939383e-13
-8.214313349200	1.8978131763076e-14
-8.211315424620	-7.5912527052303e-14
-8.208317500040	1.1386879057845e-13
-8.205319575460	-4.9343142583997e-13
-8.202321650880	4.5547516231382e-13
-8.199323726300	-5.5036582112919e-13
-8.196325801720	-3.0365010820921e-13
-8.193327877140	-3.6058450349844e-13
-8.190329952560	-1.8978131763076e-14
-8.187332027980	-1.7080318586768e-13
-8.184334103400	1.8978131763076e-14
-8.181336178820	-1.8978131763076e-13
-8.178338254240	1.8978131763076e-14
-8.175340329660	7.5912527052303e-14
-8.172342405080	-3.0365010820921e-13
-8.169344480500	-3.0365010820921e-13
-8.166346555920	-9.4890658815378e-14
-8.163348631340	-7.5912527052303e-14
-8.160350706760	1.1386879057845e-13
-8.157352782180	-3.7956263526151e-13
-8.154354857600	5.6934395289227e-14
-8.151356933020	-2.0875944939383e-13
-8.148359008440	9.4890658815378e-14
-8.145361083860	-5.1240955760304e-13
-8.142363159280	-5.6934395289227e-14
-8.139365234700	-2.4671571291998e-13
-8.136367310120	2.2773758115691e-13
-8.133369385540	-4.1751889878766e-13
-8.130371460960	-2.2773758115691e-13
-8.127373536380	-5.8832208465535e-13
-8.124375611800	-3.9854076702459e-13
-8.121377687220	-5.6934395289227e-13
-8.118379762640	-4.5547516231382e-13
-8.115381838060	-3.4160637173536e-13
-8.112383913480	-3.7956263526151e-13
-8.109385988900	-3.7956263526151e-13
-8.106388064320	-5.6934395289227e-14
-8.103390139740	-3.0365010820921e-13
-8.100392215160	-3.7956263526151e-14
-8.097394290580	-2.4671571291998e-13
-8.094396366000	-4.7445329407689e-13
-8.091398441420	-5.1240955760304e-13
-8.088400516840	-4.9343142583997e-13
-8.085402592260	-3.2262823997229e-13
-8.082404667680	-2.8467197644614e-13
-8.079406743100	-6.2627834818150e-13
-8.076408818520	1.3284692234153e-13
-8.073410893940	-3.4160637173536e-13
-8.070412969360	2.0875944939383e-13
-8.067415044780	-5.5036582112919e-13
-8.064417120200	-3.7956263526151e-14
-8.061419195620	-1.8978131763076e-14
-8.058421271040	-5.8832208465535e-13
-8.055423346460	-7.5912527052303e-13
-8.052425421880	-1.1197097740215e-12
-8.049427497300	-7.2116900699688e-13
-8.046429572720	-1.8978131763076e-13
-8.043431648140	-8.5401592933841e-13
-8.040433723560	-4.7445329407689e-13
-8.037435798980	-1.0627753787322e-12
-8.034437874400	-9.8686285167993e-13
-8.031439949820	-6.6423461170765e-13
-8.028442025240	-4.3649703055074e-13
-8.025444100660	-1.1576660375476e-12
-8.022446176080	-7.0219087523380e-13
-8.019448251500	-1.0627753787322e-12
-8.016450326920	-9.1095032462763e-13
-8.013452402340	-7.7810340228610e-13
-8.010454477760	-6.2627834818150e-13
-8.007456553180	-5.1240955760304e-13
-8.004458628600	-1.2715348281261e-12
-8.001460704020	-7.2116900699688e-13
-7.998462779440	-7.7810340228610e-13
-7.995464854860	-7.2116900699688e-13
-7.992466930280	-8.5401592933841e-13
-7.989469005700	-7.4014713875995e-13
-7.986471081120	-5.3138768936612e-13
-7.983473156540	-1.3664254869414e-12
-7.980475231960	-9.4890658815378e-13
-7.977477307380	-6.8321274347072e-13
-7.974479382800	-5.5036582112919e-13
-7.971481458220	-1.2146004328368e-12
-7.968483533640	-4.9343142583997e-13
-7.965485609060	-9.6788471991686e-13
-7.962487684480	-7.5912527052303e-13
-7.959489759900	-9.4890658815378e-13
-7.956491835320	-1.0248191152061e-12
-7.953493910740	-1.0627753787322e-12
-7.950495986160	-1.1956223010738e-12
-7.947498061580	-7.5912527052303e-13
