# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 1.200000e+01 mm
4.950000e+00 1.000888e+02 -5.484782e+01
4.960000e+00 1.092442e+02 -3.845369e+01
4.970000e+00 1.188041e+02 -2.250244e+01
4.980000e+00 1.287537e+02 -6.998772e+00
4.990000e+00 1.390779e+02 8.052850e+00
5.000000e+00 1.497622e+02 2.264825e+01
5.010000e+00 1.607920e+02 3.678349e+01
5.020000e+00 1.721526e+02 5.045492e+01
5.030000e+00 1.838300e+02 6.365914e+01
5.040000e+00 1.958097e+02 7.639298e+01
5.050000e+00 2.080778e+02 8.865355e+01
5.060000e+00 2.206202e+02 1.004382e+02
5.070000e+00 2.334231e+02 1.117445e+02
5.080000e+00 2.464728e+02 1.225704e+02
5.090000e+00 2.597556e+02 1.329138e+02
5.100000e+00 2.732581e+02 1.427732e+02
5.110000e+00 2.869668e+02 1.521470e+02
5.120000e+00 3.008684e+02 1.610341e+02
5.130000e+00 3.149499e+02 1.694335e+02
5.140000e+00 3.291980e+02 1.773445e+02
5.150000e+00 3.435999e+02 1.847665e+02
5.160000e+00 3.581428e+02 1.916992e+02
5.170000e+00 3.728138e+02 1.981427e+02
5.180000e+00 3.876005e+02 2.040969e+02
5.190000e+00 4.024903e+02 2.095623e+02
5.200000e+00 4.174708e+02 2.145394e+02
5.210000e+00 4.325298e+02 2.190291e+02
5.220000e+00 4.476551e+02 2.230324e+02
5.230000e+00 4.628347e+02 2.265504e+02
5.240000e+00 4.780567e+02 2.295845e+02
5.250000e+00 4.933093e+02 2.321364e+02
5.260000e+00 5.085808e+02 2.342079e+02
5.270000e+00 5.238597e+02 2.358009e+02
5.280000e+00 5.391345e+02 2.369177e+02
5.290000e+00 5.543940e+02 2.375606e+02
5.300000e+00 5.696269e+02 2.377322e+02
5.310000e+00 5.848223e+02 2.374352e+02
5.320000e+00 5.999692e+02 2.366726e+02
5.330000e+00 6.150568e+02 2.354475e+02
5.340000e+00 6.300745e+02 2.337631e+02
5.350000e+00 6.450117e+02 2.316229e+02
5.360000e+00 6.598580e+02 2.290305e+02
5.370000e+00 6.746032e+02 2.259897e+02
5.380000e+00 6.892372e+02 2.225043e+02
5.390000e+00 7.037500e+02 2.185786e+02
5.400000e+00 7.181316e+02 2.142167e+02
5.410000e+00 7.323725e+02 2.094230e+02
5.420000e+00 7.464631e+02 2.042021e+02
5.430000e+00 7.603939e+02 1.985586e+02
5.440000e+00 7.741556e+02 1.924974e+02
5.450000e+00 7.877391e+02 1.860233e+02
5.460000e+00 8.011354e+02 1.791415e+02
5.470000e+00 8.143357e+02 1.718572e+02
5.480000e+00 8.273313e+02 1.641757e+02
5.490000e+00 8.401135e+02 1.561024e+02
5.500000e+00 8.526741e+02 1.476430e+02
5.510000e+00 8.650046e+02 1.388029e+02
5.520000e+00 8.770971e+02 1.295881e+02
5.530000e+00 8.889435e+02 1.200044e+02
5.540000e+00 9.005360e+02 1.100578e+02
5.550000e+00 9.118670e+02 9.975431e+01
5.560000e+00 9.229289e+02 8.910007e+01
5.570000e+00 9.337144e+02 7.810134e+01
5.580000e+00 9.442162e+02 6.676442e+01
