#Parameters = {mesh_cpw=10; sigma_z=3; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (sigma_z=3) [Magnitude]"
#---------------------------------------------
16.894588608869	147.19817695022
16.928719090907	146.29716341429
16.962849572945	145.21636590858
16.996980054984	143.97410998386
17.031110537022	142.59108468990
17.065241019060	141.09024760326
17.099371501098	139.49669342064
17.133501983136	137.83747598613
17.167632465174	136.14137245110
17.201762947212	134.43857769464
17.235893429250	132.76031760636
17.270023911288	131.13837189135
17.304154393327	129.60450125077
17.338284875365	128.18978055661
17.372415357403	126.92384908867
17.406545839441	125.83410059672
17.440676321479	124.94484870349
17.474806803517	124.27651499224
17.508937285555	123.84489547486
17.543067767593	123.66056342841
17.577198249632	123.72846098359
17.611328731670	124.04771802360
17.645459213708	124.61171651672
17.679589695746	125.40839470864
17.713720177784	126.42076289852
17.747850659822	127.62758479398
17.781981141860	129.00416831165
17.816111623898	130.52320787223
17.850242105937	132.15562563581
17.884372587975	133.87136945046
17.918503070013	135.64013788039
17.952633552051	137.43201519585
17.986764034089	139.21801000868
18.020894516127	140.97049949453
18.055024998165	142.66358669434
18.089155480203	144.27338152240
18.123285962241	145.77821733554
18.157416444280	147.15881479640
18.191546926318	148.39840379378
18.225677408356	149.48281275904
18.259807890394	150.40053311747
18.293938372432	151.14276501299
18.328068854470	151.70344893679
18.362199336508	152.07928651257
18.396329818546	152.26975243804
18.430460300585	152.27709842761
18.464590782623	152.10634890619
18.498721264661	151.76528712317
18.532851746699	151.26442925080
18.566982228737	150.61698286927
18.601112710775	149.83878501061
18.635243192813	148.94821364622
18.669373674851	147.96606521402
18.703504156889	146.91538959375
18.737634638928	145.82127302705
18.771765120966	144.71055909036
18.805895603004	143.61149828561
18.840026085042	142.55331849306
18.874156567080	141.56571180708
18.908287049118	140.67823843479
18.942417531156	139.91965544753
18.976548013194	139.31718694318
19.010678495233	138.89576183022
19.044808977271	138.67725469838
19.078939459309	138.67977241763
19.113069941347	138.91703243487
19.147200423385	139.39787680354
19.181330905423	140.12595820694
19.215461387461	141.09962121017
19.249591869499	142.31198547367
19.283722351538	143.75122028674
19.317852833576	145.40098432628
19.351983315614	147.24099330307
19.386113797652	149.24767238759
19.420244279690	151.39485008201
19.454374761728	153.65445458149
19.488505243766	155.99718110535
19.522635725804	158.39310749387
19.556766207842	160.81224411192
19.590896689881	163.22501176025
19.625027171919	165.60264732935
19.659157653957	167.91754120209
19.693288135995	170.14351306105
19.727418618033	172.25603407507
19.761549100071	174.23240377010
19.795679582109	176.05188955191
19.829810064147	177.69583611402
19.863940546186	179.14775103509
19.898071028224	180.39337188850
19.932201510262	181.42071924037
19.966331992300	182.22013904947
20.000462474338	182.78433722194
20.034592956376	183.10840841509
20.068723438414	183.18986061417
20.102853920452	183.02863650287
20.136984402491	182.62713218630
20.171114884529	181.99021337549
20.205245366567	181.12522867356
20.239375848605	180.04201908303
20.273506330643	178.75292224707
20.307636812681	177.27276921167
20.341767294719	175.61887061965
20.375897776757	173.81098819643
20.410028258795	171.87128615281
20.444158740834	169.82425572535
20.478289222872	167.69660455579
20.512419704910	165.51710109012
20.546550186948	163.31636284931
20.580680668986	161.12657658099
20.614811151024	158.98113834626
20.648941633062	156.91420302758
20.683072115100	154.96013610220
20.717202597139	153.15286628893
20.751333079177	151.52514608751
20.785463561215	150.10773808950
20.819594043253	148.92855739688
20.853724525291	148.01181292847
20.887855007329	147.37720055475
20.921985489367	147.03920632420
20.956115971405	147.00657634078
20.990246453443	147.28200005285
21.024376935482	147.86203644691
21.058507417520	148.73729034509
21.092637899558	149.89282244529
21.126768381596	151.30875602018
21.160898863634	152.96102864643
21.195029345672	154.82223072215
21.229159827710	156.86247376878
21.263290309748	159.05023901209
21.297420791787	161.35316807848
21.331551273825	163.73877032155
21.365681755863	166.17503327221
21.399812237901	168.63093266983
21.433942719939	171.07684590699
21.468073201977	173.48487750093
21.502203684015	175.82910774919
21.536334166053	178.08577654838
21.570464648092	180.23341398718
21.604595130130	182.25292822953
21.638725612168	184.12765974057
21.672856094206	185.84340932897
21.706986576244	187.38844594413
21.741117058282	188.75349876487
21.775247540320	189.93173688553
21.809378022358	190.91873885150
21.843508504396	191.71245340695
21.877638986435	192.31315206955
21.911769468473	192.72337351581
21.945899950511	192.94785922291
21.980030432549	192.99347934886
22.014160914587	192.86914742988
22.048291396625	192.58572212635
22.082421878663	192.15589395793
22.116552360701	191.59405474802
22.150682842740	190.91614736719
22.184813324778	190.13949335648
22.218943806816	189.28259616407
22.253074288854	188.36491808850
22.287204770892	187.40662963648
22.321335252930	186.42833091675
22.355465734968	185.45074593189
22.389596217006	184.49439220074
22.423726699045	183.57923000987
