#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
9.413483181200	1.3089971329632e+04
9.443462427000	1.3101818482948e+04
9.473441672800	1.3113068983126e+04
9.503420918600	1.3123706778705e+04
9.533400164400	1.3133716087802e+04
9.563379410200	1.3143081412085e+04
9.593358656000	1.3151787550534e+04
9.623337901800	1.3159819613003e+04
9.653317147600	1.3167163033550e+04
9.683296393400	1.3173803583538e+04
9.713275639200	1.3179727384494e+04
9.743254885000	1.3184920920702e+04
9.773234130800	1.3189371051543e+04
9.803213376600	1.3193065023547e+04
9.833192622400	1.3195990482162e+04
9.863171868200	1.3198135483230e+04
9.893151114000	1.3199488504149e+04
9.923130359800	1.3200038454724e+04
9.953109605600	1.3199774687687e+04
9.983088851400	1.3198687008888e+04
10.013068097200	1.3196765687141e+04
10.043047343000	1.3194001463715e+04
10.073026588800	1.3190385561470e+04
10.103005834600	1.3185909693618e+04
10.132985080400	1.3180566072122e+04
10.162964326200	1.3174347415696e+04
10.192943572000	1.3167246957427e+04
10.222922817800	1.3159258451999e+04
10.252902063600	1.3150376182510e+04
10.282881309400	1.3140594966889e+04
10.312860555200	1.3129910163890e+04
10.342839801000	1.3118317678675e+04
10.372819046800	1.3105813967969e+04
10.402798292600	1.3092396044790e+04
10.432777538400	1.3078061482741e+04
10.462756784200	1.3062808419870e+04
10.492736030000	1.3046635562092e+04
10.522715275800	1.3029542186164e+04
10.552694521600	1.3011528142215e+04
10.582673767400	1.2992593855833e+04
10.612653013200	1.2972740329697e+04
10.642632259000	1.2951969144759e+04
10.672611504800	1.2930282460976e+04
10.702590750600	1.2907683017588e+04
10.732569996400	1.2884174132938e+04
10.762549242200	1.2859759703844e+04
10.792528488000	1.2834444204515e+04
10.822507733800	1.2808232685018e+04
10.852486979600	1.2781130769282e+04
10.882466225400	1.2753144652670e+04
10.912445471200	1.2724281099084e+04
10.942424717000	1.2694547437641e+04
10.972403962800	1.2663951558889e+04
11.002383208600	1.2632501910597e+04
11.032362454400	1.2600207493101e+04
11.062341700200	1.2567077854214e+04
11.092320946000	1.2533123083714e+04
11.122300191800	1.2498353807400e+04
11.152279437600	1.2462781180732e+04
11.182258683400	1.2426416882057e+04
11.212237929200	1.2389273105417e+04
11.242217175000	1.2351362552968e+04
11.272196420800	1.2312698426984e+04
11.302175666600	1.2273294421486e+04
11.332154912400	1.2233164713474e+04
11.362134158200	1.2192323953791e+04
11.392113404000	1.2150787257609e+04
11.422092649800	1.2108570194561e+04
11.452071895600	1.2065688778512e+04
11.482051141400	1.2022159456990e+04
11.512030387200	1.1977999100275e+04
11.542009633000	1.1933224990162e+04
11.571988878800	1.1887854808406e+04
11.601968124600	1.1841906624856e+04
11.631947370400	1.1795398885288e+04
11.661926616200	1.1748350398949e+04
11.691905862000	1.1700780325822e+04
11.721885107800	1.1652708163619e+04
11.751864353600	1.1604153734518e+04
11.781843599400	1.1555137171647e+04
11.811822845200	1.1505678905339e+04
