# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
3.150000e+00 1.965583e+00 5.207094e+00
3.160000e+00 1.963466e+00 5.197163e+00
3.170000e+00 1.961154e+00 5.187361e+00
3.180000e+00 1.958652e+00 5.177692e+00
3.190000e+00 1.955964e+00 5.168162e+00
3.200000e+00 1.953097e+00 5.158778e+00
3.210000e+00 1.950054e+00 5.149544e+00
3.220000e+00 1.946842e+00 5.140466e+00
3.230000e+00 1.943466e+00 5.131548e+00
3.240000e+00 1.939932e+00 5.122795e+00
3.250000e+00 1.936246e+00 5.114212e+00
3.260000e+00 1.932414e+00 5.105803e+00
3.270000e+00 1.928441e+00 5.097571e+00
3.280000e+00 1.924335e+00 5.089521e+00
3.290000e+00 1.920102e+00 5.081656e+00
3.300000e+00 1.915747e+00 5.073980e+00
3.310000e+00 1.911278e+00 5.066495e+00
3.320000e+00 1.906701e+00 5.059205e+00
3.330000e+00 1.902023e+00 5.052112e+00
3.340000e+00 1.897251e+00 5.045218e+00
3.350000e+00 1.892391e+00 5.038526e+00
3.360000e+00 1.887450e+00 5.032036e+00
3.370000e+00 1.882436e+00 5.025752e+00
3.380000e+00 1.877354e+00 5.019674e+00
3.390000e+00 1.872213e+00 5.013804e+00
3.400000e+00 1.867018e+00 5.008142e+00
3.410000e+00 1.861777e+00 5.002689e+00
3.420000e+00 1.856497e+00 4.997446e+00
3.430000e+00 1.851184e+00 4.992412e+00
3.440000e+00 1.845846e+00 4.987587e+00
3.450000e+00 1.840489e+00 4.982972e+00
3.460000e+00 1.835120e+00 4.978566e+00
3.470000e+00 1.829746e+00 4.974367e+00
3.480000e+00 1.824373e+00 4.970376e+00
3.490000e+00 1.819009e+00 4.966590e+00
3.500000e+00 1.813659e+00 4.963009e+00
3.510000e+00 1.808330e+00 4.959630e+00
3.520000e+00 1.803029e+00 4.956452e+00
3.530000e+00 1.797761e+00 4.953473e+00
3.540000e+00 1.792534e+00 4.950690e+00
3.550000e+00 1.787352e+00 4.948101e+00
3.560000e+00 1.782223e+00 4.945704e+00
3.570000e+00 1.777152e+00 4.943495e+00
3.580000e+00 1.772144e+00 4.941471e+00
3.590000e+00 1.767205e+00 4.939630e+00
3.600000e+00 1.762341e+00 4.937968e+00
3.610000e+00 1.757557e+00 4.936480e+00
3.620000e+00 1.752858e+00 4.935165e+00
3.630000e+00 1.748249e+00 4.934017e+00
3.640000e+00 1.743735e+00 4.933032e+00
3.650000e+00 1.739322e+00 4.932207e+00
3.660000e+00 1.735012e+00 4.931538e+00
3.670000e+00 1.730811e+00 4.931019e+00
3.680000e+00 1.726723e+00 4.930645e+00
3.690000e+00 1.722752e+00 4.930414e+00
3.700000e+00 1.718901e+00 4.930319e+00
3.710000e+00 1.715175e+00 4.930356e+00
3.720000e+00 1.711577e+00 4.930519e+00
3.730000e+00 1.708110e+00 4.930804e+00
3.740000e+00 1.704777e+00 4.931205e+00
3.750000e+00 1.701582e+00 4.931717e+00
3.760000e+00 1.698527e+00 4.932335e+00
3.770000e+00 1.695614e+00 4.933054e+00
3.780000e+00 1.692846e+00 4.933867e+00
3.790000e+00 1.690225e+00 4.934769e+00
3.800000e+00 1.687754e+00 4.935756e+00
3.810000e+00 1.685433e+00 4.936820e+00
3.820000e+00 1.683264e+00 4.937957e+00
3.830000e+00 1.681249e+00 4.939161e+00
3.840000e+00 1.679389e+00 4.940426e+00
3.850000e+00 1.677685e+00 4.941746e+00
3.860000e+00 1.676138e+00 4.943116e+00
3.870000e+00 1.674748e+00 4.944529e+00
3.880000e+00 1.673515e+00 4.945982e+00
3.890000e+00 1.672440e+00 4.947466e+00
3.900000e+00 1.671524e+00 4.948978e+00
3.910000e+00 1.670765e+00 4.950511e+00
3.920000e+00 1.670163e+00 4.952060e+00
3.930000e+00 1.669718e+00 4.953618e+00
3.940000e+00 1.669429e+00 4.955181e+00
3.950000e+00 1.669295e+00 4.956744e+00
3.960000e+00 1.669316e+00 4.958299e+00
3.970000e+00 1.669489e+00 4.959843e+00
3.980000e+00 1.669813e+00 4.961371e+00
3.990000e+00 1.670287e+00 4.962875e+00
4.000000e+00 1.670909e+00 4.964352e+00
4.010000e+00 1.671678e+00 4.965797e+00
4.020000e+00 1.672590e+00 4.967204e+00
4.030000e+00 1.673643e+00 4.968569e+00
4.040000e+00 1.674836e+00 4.969887e+00
4.050000e+00 1.676166e+00 4.971152e+00
4.060000e+00 1.677629e+00 4.972361e+00
4.070000e+00 1.679223e+00 4.973509e+00
4.080000e+00 1.680946e+00 4.974592e+00
4.090000e+00 1.682794e+00 4.975605e+00
4.100000e+00 1.684763e+00 4.976544e+00
4.110000e+00 1.686850e+00 4.977405e+00
4.120000e+00 1.689053e+00 4.978184e+00
4.130000e+00 1.691367e+00 4.978878e+00
4.140000e+00 1.693788e+00 4.979483e+00
4.150000e+00 1.696312e+00 4.979995e+00
4.160000e+00 1.698937e+00 4.980411e+00
4.170000e+00 1.701657e+00 4.980728e+00
4.180000e+00 1.704469e+00 4.980943e+00
4.190000e+00 1.707368e+00 4.981053e+00
4.200000e+00 1.710350e+00 4.981055e+00
4.210000e+00 1.713410e+00 4.980946e+00
4.220000e+00 1.716545e+00 4.980724e+00
4.230000e+00 1.719750e+00 4.980387e+00
4.240000e+00 1.723019e+00 4.979933e+00
4.250000e+00 1.726350e+00 4.979359e+00
4.260000e+00 1.729736e+00 4.978663e+00
4.270000e+00 1.733173e+00 4.977845e+00
4.280000e+00 1.736656e+00 4.976903e+00
4.290000e+00 1.740181e+00 4.975834e+00
4.300000e+00 1.743742e+00 4.974639e+00
4.310000e+00 1.747335e+00 4.973316e+00
4.320000e+00 1.750955e+00 4.971864e+00
4.330000e+00 1.754597e+00 4.970282e+00
4.340000e+00 1.758257e+00 4.968571e+00
4.350000e+00 1.761928e+00 4.966729e+00
4.360000e+00 1.765606e+00 4.964756e+00
4.370000e+00 1.769287e+00 4.962653e+00
4.380000e+00 1.772965e+00 4.960420e+00
4.390000e+00 1.776636e+00 4.958056e+00
4.400000e+00 1.780294e+00 4.955562e+00
4.410000e+00 1.783936e+00 4.952940e+00
4.420000e+00 1.787555e+00 4.950189e+00
4.430000e+00 1.791147e+00 4.947311e+00
4.440000e+00 1.794708e+00 4.944306e+00
4.450000e+00 1.798233e+00 4.941176e+00
4.460000e+00 1.801717e+00 4.937923e+00
4.470000e+00 1.805155e+00 4.934548e+00
4.480000e+00 1.808543e+00 4.931052e+00
4.490000e+00 1.811877e+00 4.927437e+00
4.500000e+00 1.815152e+00 4.923706e+00
4.510000e+00 1.818364e+00 4.919861e+00
4.520000e+00 1.821509e+00 4.915904e+00
4.530000e+00 1.824582e+00 4.911837e+00
4.540000e+00 1.827579e+00 4.907662e+00
4.550000e+00 1.830497e+00 4.903384e+00
4.560000e+00 1.833331e+00 4.899003e+00
4.570000e+00 1.836077e+00 4.894524e+00
4.580000e+00 1.838733e+00 4.889950e+00
4.590000e+00 1.841294e+00 4.885283e+00
4.600000e+00 1.843756e+00 4.880527e+00
4.610000e+00 1.846117e+00 4.875685e+00
