# Freq(GHz) Re(Z) Im(Z)
5.001250e+00 2.007343e+05 2.993919e+05
5.013753e+00 2.015094e+05 3.002756e+05
5.026257e+00 2.023168e+05 3.011127e+05
5.038760e+00 2.031550e+05 3.019027e+05
5.051263e+00 2.040246e+05 3.026413e+05
5.063766e+00 2.049236e+05 3.033281e+05
5.076269e+00 2.058480e+05 3.039670e+05
5.088772e+00 2.067962e+05 3.045577e+05
5.101275e+00 2.077781e+05 3.051055e+05
5.113778e+00 2.087823e+05 3.056017e+05
5.126282e+00 2.097822e+05 3.060488e+05
5.138785e+00 2.107777e+05 3.064468e+05
5.151288e+00 2.117900e+05 3.067918e+05
5.163791e+00 2.128173e+05 3.070839e+05
5.176294e+00 2.138568e+05 3.073270e+05
5.188797e+00 2.149070e+05 3.075213e+05
5.201300e+00 2.159673e+05 3.076625e+05
5.213803e+00 2.170357e+05 3.077512e+05
5.226307e+00 2.181103e+05 3.077913e+05
5.238810e+00 2.191895e+05 3.077831e+05
5.251313e+00 2.202722e+05 3.077224e+05
5.263816e+00 2.213625e+05 3.076158e+05
5.276319e+00 2.224575e+05 3.074659e+05
5.288822e+00 2.235514e+05 3.072687e+05
5.301325e+00 2.246427e+05 3.070202e+05
5.313828e+00 2.257297e+05 3.067214e+05
5.326332e+00 2.268115e+05 3.063762e+05
5.338835e+00 2.278868e+05 3.059851e+05
5.351338e+00 2.289536e+05 3.055443e+05
5.363841e+00 2.300105e+05 3.050551e+05
5.376344e+00 2.310544e+05 3.045249e+05
5.388847e+00 2.320799e+05 3.039607e+05
5.401350e+00 2.330896e+05 3.033516e+05
5.413853e+00 2.340842e+05 3.026962e+05
5.426357e+00 2.350634e+05 3.019984e+05
5.438860e+00 2.360338e+05 3.012662e+05
5.451363e+00 2.369873e+05 3.004912e+05
5.463866e+00 2.379207e+05 2.996724e+05
5.476369e+00 2.388343e+05 2.988137e+05
5.488872e+00 2.397271e+05 2.979156e+05
5.501375e+00 2.405961e+05 2.969754e+05
5.513878e+00 2.414404e+05 2.959943e+05
5.526382e+00 2.422609e+05 2.949760e+05
5.538885e+00 2.430565e+05 2.939211e+05
5.551388e+00 2.438239e+05 2.928272e+05
5.563891e+00 2.445626e+05 2.916956e+05
5.576394e+00 2.452736e+05 2.905298e+05
5.588897e+00 2.459561e+05 2.893305e+05
5.601400e+00 2.466065e+05 2.880954e+05
5.613903e+00 2.472292e+05 2.868310e+05
5.626407e+00 2.478252e+05 2.855398e+05
5.638910e+00 2.483921e+05 2.842139e+05
5.651413e+00 2.489250e+05 2.828529e+05
5.663916e+00 2.494220e+05 2.814612e+05
5.676419e+00 2.498850e+05 2.800416e+05
5.688922e+00 2.503131e+05 2.785950e+05
5.701425e+00 2.507022e+05 2.771197e+05
5.713928e+00 2.510525e+05 2.756173e+05
5.726432e+00 2.513658e+05 2.740904e+05
5.738935e+00 2.516416e+05 2.725399e+05
5.751438e+00 2.518756e+05 2.709643e+05
5.763941e+00 2.520681e+05 2.693651e+05
5.776444e+00 2.522212e+05 2.677448e+05
5.788947e+00 2.523343e+05 2.661041e+05
5.801450e+00 2.524103e+05 2.644492e+05
5.813953e+00 2.524439e+05 2.627758e+05
5.826457e+00 2.524359e+05 2.610844e+05
5.838960e+00 2.523857e+05 2.593758e+05
5.851463e+00 2.522888e+05 2.576491e+05
5.863966e+00 2.521458e+05 2.559056e+05
5.876469e+00 2.519590e+05 2.541472e+05
5.888972e+00 2.517242e+05 2.523701e+05
5.901475e+00 2.514239e+05 2.505597e+05
5.913978e+00 2.510740e+05 2.487340e+05
5.926482e+00 2.506783e+05 2.468961e+05
5.938985e+00 2.502366e+05 2.450463e+05
5.951488e+00 2.497435e+05 2.431843e+05
5.963991e+00 2.492000e+05 2.413110e+05
5.976494e+00 2.486088e+05 2.394275e+05
5.988997e+00 2.479745e+05 2.375397e+05
6.001500e+00 2.472895e+05 2.356447e+05
6.014004e+00 2.465517e+05 2.337402e+05
6.026507e+00 2.457637e+05 2.318270e+05
6.039010e+00 2.449248e+05 2.299054e+05
6.051513e+00 2.440292e+05 2.279746e+05
6.064016e+00 2.430775e+05 2.260351e+05
6.076519e+00 2.420726e+05 2.240873e+05
6.089022e+00 2.410136e+05 2.221312e+05
6.101525e+00 2.398937e+05 2.201657e+05
6.114029e+00 2.387137e+05 2.181907e+05
6.126532e+00 2.374761e+05 2.162065e+05
6.139035e+00 2.361796e+05 2.142124e+05
6.151538e+00 2.347821e+05 2.122096e+05
6.164041e+00 2.332993e+05 2.101962e+05
6.176544e+00 2.317525e+05 2.081701e+05
6.189047e+00 2.301473e+05 2.061376e+05
6.201550e+00 2.284670e+05 2.040884e+05
6.214054e+00 2.267110e+05 2.020206e+05
6.226557e+00 2.248808e+05 1.999330e+05
6.239060e+00 2.229734e+05 1.978234e+05
6.251563e+00 2.209763e+05 1.956859e+05
6.264066e+00 2.188881e+05 1.935179e+05
6.276569e+00 2.167093e+05 1.913171e+05
6.289072e+00 2.144345e+05 1.890790e+05
6.301575e+00 2.120462e+05 1.867938e+05
6.314079e+00 2.095407e+05 1.844560e+05
6.326582e+00 2.069160e+05 1.820614e+05
6.339085e+00 2.041629e+05 1.796018e+05
6.351588e+00 2.012543e+05 1.770588e+05
6.364091e+00 1.981812e+05 1.744224e+05
6.376594e+00 1.949369e+05 1.716836e+05
6.389097e+00 1.915092e+05 1.688323e+05
6.401600e+00 1.878415e+05 1.658388e+05
6.414104e+00 1.838862e+05 1.627186e+05
6.426607e+00 1.796558e+05 1.594033e+05
6.439110e+00 1.751121e+05 1.558582e+05
6.451613e+00 1.701640e+05 1.520063e+05
6.464116e+00 1.647588e+05 1.477965e+05
6.476619e+00 1.588428e+05 1.431756e+05
6.489122e+00 1.523212e+05 1.380551e+05
6.501625e+00 1.449772e+05 1.322383e+05
6.514129e+00 1.366519e+05 1.255698e+05
6.526632e+00 1.271626e+05 1.178669e+05
6.539135e+00 1.162035e+05 1.088289e+05
6.551638e+00 1.030784e+05 9.777139e+04
6.564141e+00 8.711343e+04 8.398946e+04
6.576644e+00 6.739548e+04 6.649449e+04
6.589147e+00 4.232486e+04 4.351630e+04
6.601650e+00 7.885073e+03 1.043335e+04
6.614154e+00 -4.189259e+04 -4.043590e+04
6.626657e+00 -1.184421e+05 -1.257976e+05
6.639160e+00 -2.492605e+05 -2.944190e+05
6.651663e+00 -4.848261e+05 -9.462072e+05
6.664166e+00 1.040764e+06 -1.336354e+06
6.676669e+00 1.977521e+06 4.426509e+05
6.689172e+00 8.813899e+05 5.604386e+05
6.701675e+00 6.282231e+05 4.600899e+05
6.714179e+00 5.129039e+05 4.010637e+05
6.726682e+00 4.443763e+05 3.625322e+05
6.739185e+00 3.990807e+05 3.357181e+05
6.751688e+00 3.677515e+05 3.166320e+05
6.764191e+00 3.442547e+05 3.021684e+05
6.776694e+00 3.256412e+05 2.907153e+05
6.789197e+00 3.104798e+05 2.814600e+05
6.801700e+00 2.980552e+05 2.739983e+05
6.814204e+00 2.875324e+05 2.678165e+05
6.826707e+00 2.783930e+05 2.625846e+05
6.839210e+00 2.703519e+05 2.581198e+05
6.851713e+00 2.632803e+05 2.543441e+05
6.864216e+00 2.569443e+05 2.511000e+05
6.876719e+00 2.511860e+05 2.482794e+05
6.889222e+00 2.459157e+05 2.458213e+05
6.901725e+00 2.411029e+05 2.437072e+05
6.914229e+00 2.366800e+05 2.418778e+05
6.926732e+00 2.326114e+05 2.402931e+05
6.939235e+00 2.288128e+05 2.389151e+05
6.951738e+00 2.252725e+05 2.377392e+05
6.964241e+00 2.219462e+05 2.367322e+05
6.976744e+00 2.188022e+05 2.358696e+05
6.989247e+00 2.158231e+05 2.351381e+05
7.001750e+00 2.130100e+05 2.345389e+05
7.014254e+00 2.103384e+05 2.340526e+05
7.026757e+00 2.077904e+05 2.336646e+05
7.039260e+00 2.053627e+05 2.333732e+05
7.051763e+00 2.030540e+05 2.331758e+05
7.064266e+00 2.008482e+05 2.330588e+05
7.076769e+00 1.987343e+05 2.330129e+05
7.089272e+00 1.967072e+05 2.330333e+05
7.101775e+00 1.947713e+05 2.331224e+05
7.114279e+00 1.929163e+05 2.332713e+05
7.126782e+00 1.911348e+05 2.334734e+05
7.139285e+00 1.894236e+05 2.337254e+05
7.151788e+00 1.877876e+05 2.340295e+05
7.164291e+00 1.862248e+05 2.343735e+05
7.176794e+00 1.847603e+05 2.347225e+05
7.189297e+00 1.833772e+05 2.350887e+05
7.201800e+00 1.820592e+05 2.354947e+05
